AI Analysis of Scenario Justification (ChatGPT),What influences participant decisions?,Code,Description,Examples
Economic Considerations and Cost-Benefit Analysis,cost of damage,acceptable damage costs,"participants base their decision on the cost of damage, but specify the costs are acceptable.","""The loss is Minuit""; ""1000 is not too expensive"""
Economic Considerations and Cost-Benefit Analysis,cost of damage,damage costs,"participants base their decision on the cost of damage, but do not specify whether they want to avoid damage costs or find the cost acceptable.","""Based on the damage cost.""; ""Will cause 25k in damage"""
Economic Considerations and Cost-Benefit Analysis,cost of damage,avoid damage and its costs,participants mention they want to avoid paying for damages associated with flooding and be able to pay for repairs/ fixes.,"""that is the only way to get your home fixed""; ""I cannot afford flood damage that could destroy my home""; ""It would help cover the amount of damage that was already caused and will be caused."""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,cost benefit analysis,Comparing the benefits and impacts of various solutions including costs. ,"""The description said that 1.9 inches of rainfall in a day caused the prvious homeowner $25,000 in damages. The graph shows that for the current period (2020-2049), average rainfall will exceed 1.9 inches, making purchasing an insurance policy the most cost-effective option on average (according to the model)."""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,cost effective,participants identify the action as being a good solution without costing a lot of money after comparing the costs and outcomes of different actions.,"""Its worth the investment because its only 480 a yr""; ""Low cost"""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,best economic choice, participants mention the solution is the most or best economical solution. Economics must be mentioned.,"""it seems like the most economical""; ""protection for 4 heavy rainfall events with the best economical solution""; ""best protection value"""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,saves money,participants indicate the solution selected will save money.,"""save lots money to have flood insurance""; ""It would save me money in the long run""; ""cheaper in the long run"""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,too expensive,participants indicate that they can't select a protective option due to a lack of money.,"""cannot afford it""; ""flood insurance is too expensive. i would take my chances"""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,not worth the cost,participants indicate that issue is not enough of a problem to justify the cost of implementing a solution.,"""not cost effective""; ""Seems like a waste of money""; ""The increase in rain is not great enough to justify the expensive flood insurance""; ""The likelihood of a flood is too small for the cost."""
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,good investment,"participants mention that the solution is a good investment based on its cost, level or protection it offers, or ability to increase the homes value.","""It is a good investment.""; "
Economic Considerations and Cost-Benefit Analysis,evaluation of best cost outcome,insurance costs,,
Economic Considerations and Cost-Benefit Analysis,other considerations,increase property value,participants mention the solution increases the value of the home which is one reason to select the option.,"""it is more economical and adds value to home and property""; ""paving the driveway increase the value of my home.""; ""Paving a. Driveway increases property value , so it has additional benefits beyond the erosion prevention""; ""I hate the cost and effort of maintaining things over time. I'd rather invest the money to do it right upfront and have added property value and protection for future heavy rainfall events. """
Economic Considerations and Cost-Benefit Analysis,hassle of dealing with flooding,fix and forget,participants indicate the option is a one time fix to the problem where they don't have to worry or deal with issues over the years.,"""You're going to have at least a few heavy rainfalls each year. I'd fix it once and for all.""; ""You pay once and it guaranteed for 30 years.""; ""I'd pave it so I don't have to worry about it.""; ""It‚Äôs a one time payment then you won‚Äôt have to worry about it again."""
Economic Considerations and Cost-Benefit Analysis,hassle of dealing with flooding,low maintenance,"participants indicate they prefer having no or low maintenances costs, or prefer not to help to deal with maintenance.","""It may cost more but it more than makes up in maintance at 0 cost per year""; ""You do not have any maintenance fees for thirty years.""; ""easier to maintain for its life""; ""Paving reduces unwanted upkeep"""
Rainfall and Flood Risk Assessment,rainfall amount,high amount of rain,participants indicate that the amount of rainfall is heavy or high.,"""It is certain that there will be heavy rainfall periods""; ""High rain""; ""Because it looks like there's significant rain"""
Rainfall and Flood Risk Assessment,rainfall amount,amount of rain,"participants indicate the amount of rainfall impacted their decision, but do not specify whether the amount is low or high.","""amount of rain""; ""Because of the rainfall""; ""Looking at the amt of rainfall within those years"""
Rainfall and Flood Risk Assessment,rainfall amount,low amount of rain,participants indicate that the amount of rainfall is small.,"""Not enough rain predicted""; ""Over thr next 30 years the graphbis showing less than an inch of rainfsll""; ""Because it doesn't rain that bad""; ""we don't get that much rain"""
Rainfall and Flood Risk Assessment,rainfall amount,increase in rainfall,participants mention heavy rainfall is increasing.,"""Because the amount of rain will increase in that time frame.""; ""the amount of rainfall seems to be increasing over the '20-'49 year period, so it seems like a good idea to get the insurance."""
Rainfall and Flood Risk Assessment,rainfall amount,change in rainfall,"participants indicate the change in rainfall impacted their decision, but do not specify whether the change was increasing or decreasing.","""Percent of change""; ""Rainfall rates changing.""; ""Changes indicated"""
Rainfall and Flood Risk Assessment,rainfall amount,decrease in rainfall,participants mention rainfall going down or decreasing.,"""it went down""; ""possible decrease in high emissions value"""
Rainfall and Flood Risk Assessment,perception of flood risk,increase in risk of flood(s),"participants indicate that not only is there a possibility of flooding, but that the likelihood of flooding is increasing.","""More rain= more flooding""; ""Because the amount of rainfall is increasing which means it will most likely start to flood""; ""The chances of a flood has increased greatly over the years""; ""In the future there are more likely to flood""; ""The likelihood of a flood continues to go up based on the graph"""
Rainfall and Flood Risk Assessment,perception of flood risk,risk of flood(s),participants mention the possibility of being flooded is likely to occur.,"""The likelyhood of floods is high""; ""It is likely that flood scenarios will happen during my ownership"""
Rainfall and Flood Risk Assessment,perception of flood risk,low risk of flooding,participants indicate that there is a low probability of the scenario property to be flooded.,"""It does not seem likely there we be a flooding in my area.""; ""doesn't flood""; ""1.9 inches of rain is not a flood""; ""The flooding is not high enough to truly do damage unless my house is really flat"""
Rainfall and Flood Risk Assessment,perception of flood risk,little to no change in risk,participants indicate that they do not see much change.,"""It's about the same""; ""Not a big change""; ""Not much change.  Not worried""; ""numbers are not that far off""; "
Rainfall and Flood Risk Assessment,perception of flood risk,10 yr likelihood,participants estimate a probility of flooding based on a flood occuring 10 years ago in the scenario.,"""it was flooded ten years ago and i would not experience it myself""; ""10 years ago is a statistically short period so the likelihood of recurrence is high""; ""Because it happened in a period of 10 yrars""; ""Previous record prove it could happen again within 10 years."""
Rainfall and Flood Risk Assessment,perception of flood risk,not in a flood zone,participants base their decision on the fact that the scenario property is not in a flood zone as it does not legally require flood insurance. This is despite the fact that FEMA flood zones are designed for river-based flooding and not designed to account for flooding from intense rainfall.,"""Because I'm not in a flood zone""; ""Because according to FEMA I would be living in a non-flood zone""; ""Because it isnt really in a flood area""; ""I do not live in a flood plain""; ""there is not nearly enough information to make this flood insurance decision...i said 'no' because even these heavy rain fall events as numerous as 3x a year likely is not enough to flood the house and i base that on the fact that flood insurance is not required at the location...."""
Rainfall and Flood Risk Assessment,perception of flood risk,history of flood,participants base their answers based on the previous history of the house being flooded.,"""If it's happened in the past it's liable to happen in the future I speak of flooding""; ""It happened before""; ""Because it's done been flooded once"""
Rainfall and Flood Risk Assessment,perception of flood risk,it is only rain,participants indicate that rain is not a factor or irrelevant to the flooding issue in the scenario.,"""It‚Äôs just rain""; ""seems irrelevant""; ""I don't think it has any effect whatsoever"""
Rainfall and Flood Risk Assessment,perception of flood risk,weather is unpredictable,participants mention that weather or flooding is unpredictable.,"""Unpredictability of flooding again""; ""No one can predict the future""; ""Can't predict the rain.""; ""Because in some places it high and sometimes low"""
Rainfall and Flood Risk Assessment,climate belief,climate change increases risk,participants indicate climate change as a reason to select a solution.,"""Because our climate is changing because we're messing it up big time.""; ""that climate change will cause the rainfall to increase and there is quite the potential for another flood that will be equal to or greater than the previous one.""; ""Due to climate change it is vulnerable for flood to occure"""
Data Interpretation and Understanding,values in graph or narrative,based on the graph,"participants used the graph to base their answer, but do not provide further insight.","""I used the graphics.""; ""The graph itself""; ""The graph helped"""
Data Interpretation and Understanding,values in graph or narrative,based on the hindcast,participants base their answer on the hindcast.,"""The hindcast""; ""Gray Area"""
Data Interpretation and Understanding,values in graph or narrative,based on average,"decisions are based on the average whether that be the observation average, historic average, or just the average.","""Seems to be average""; ""IT HAPPENS 1.6 DAYS PER YEAR""; ""Observation average""; ""Median values are all above 1.9""; ""Seemed like the best thing to do based on the historical data""; ""historic"""
Data Interpretation and Understanding,values in graph or narrative,based on 2 events,"participants indicate basing their decision on 2 events, but do not also account for surprises (see freeboard added).","""The average amount of heavy rainfall days is under 2""; ""number of heavy rain days seems about 2 events according to the model for the next 50 yrs""; ""It only looks effective against 2."""
Data Interpretation and Understanding,values in graph or narrative,based on 4 events,"participants indicate basing their decision on 4 events, but do not also account for surprises (see freeboard added).","""Chances are based on the info. in the graph there will be over four heavy rain events likely""; ""Best investment if I'm expecting more than 4 events annually""; ""It would work for to 4 events and according to the graph there would be less than 4""; ""Install erosion control against 4 heavy rainfall"""
Data Interpretation and Understanding,values in graph or narrative,freeboard added,participants indicate the number of events they expect and account for some uncertainty or surprise events.,"""I chose that option because the average for 2070 of heavy rainfalls at 1% is only 2.5 days so I chose the one where it handles four""; ""It seems most cost effective because the graph shows a prediction of the median days being just above 2 and the improved erosion control covers up to 4 days of heavy rain so it makes more sense to chose that scenario.""; ""I would do this because it protects from 4 heavy rainfall events each year. The graph shows now it is around 2, but may increase above 2, but should stay below 4 per year.""; ""Median, and still expecting some issues""; ""according to the graph we are looking at 2 days of heavy rainfall so I am doubling on the safety for this rainfall projection."""
Data Interpretation and Understanding,values in graph or narrative,based on emissions scenario(s)/ projections,participants base their answer on projections of either the high or low emissions scenarios.,"""The high emission range""; ""The percentage of the high emissions""; ""the pink range""; ""The high emissions range was almost doubled which I know can change quickly either way""; ""Even the low emissions scenario has a significant increase over the historical period.""; ""The graph prediction""; ""Because the rain predicted"""
Data Interpretation and Understanding,values in graph or narrative,the description,Answers are based on the background information given and not the graph.,"""The information provided""; ""I did the choice without using the graphics""; ""the facts""; ""Based on the numbers listed"""
Data Interpretation and Understanding,lack of information or confusion,confusion about personal home,participants answer questions based on their own home and area rather than the property provided in the scenario.,"""I live on top of a hill. There is no chance of flooding ""; ""live in desert""; ""Flooding rarely happens where I live."""
Data Interpretation and Understanding,lack of information or confusion,I don't understand,"participants mention that had issues understanding the graph, question, or survey.","""To repair the house, I did not use the graph, I can not understand it.""; ""would need to have better explanation""; ""I have no idea the survey doesn't make sense to me"""
Data Interpretation and Understanding,lack of information or confusion,unable to read graph,participants indicate that they can't read values off of the graph.,"""It hard to say how much rain will fail""; ""Can‚Äôt tell how many will occur"""
Data Interpretation and Understanding,lack of information or confusion,more information wanted,participants indicate that more information is needed before they could make an informed decision or that they would like to learn more about rainfall.,"""more information about the property is needed, such as proximity to bodies of water and elevation numbers""; ""I would need a 20 year history of rainfall and flooding.anything may happnen but without jistoric presedence it may be a wasre""; ""it depends where you live, the graph is irrelevant""; ""Just I wanna get informe about rainfall"""
Data Interpretation and Understanding,lack of information or confusion,wrong answer,participants reason is in contrast with their answer. ,"""Because many people loose their houses due to floods and having insurance can help people rebuild their homes"" - ans: NO; ""The probablity of another flood is high according to the bar graph."" - ans: NO"
Perception and Personal Judgment,feelings,logical choice,participants mention the solution is the best or ideal solution or the solution that makes the most sense.,"""Because it made the most sense ""; ""Ideal""; ""best option"""
Perception and Personal Judgment,feelings,feels right,"participants base their answer on a guess, feeling, or instinct that the solution is the right option.","""It's my best guess""; ""no reason""; ""instinct""; ""i just did""; ""Because it seemed right"""
Perception and Personal Judgment,feelings,I don't believe it,"participants choose todo nothing because they do not believe the scenario, the information in the graph, or the damages are realistic.","""Cuz I don't think it'll fly in that scenario""; ""I don't believe it"""
Perception and Personal Judgment,feelings,hypothetical,participants focus on the scenario being hypothetical despite the scenarios being based on real facts and a real location.,"""These graphs are hypothetical, there is always the chance it will flood the house.""; ""Those are hypocritical""; "
Perception and Personal Judgment,feelings,based on prior experience,participants use experiences from their personal life to inform the decision.,"""We have flooding where I live so it‚Äôs worth it to take the most precaution or have your house destroyed.""; ""Because we have a paved driveway and it saves on erosion""; ""I was in the paving business. I know a little""; ""From experience I know a gravel lane or drive does not always wash out."""
Perception and Personal Judgment,climate belief,global warming is a hoax,participants indicate that climate change is not real.,"""I don't believe in global warming..it is a scam""; ""Global warming is a hoax"""
Perception and Personal Judgment,other considerations,advantages it offers,participants mention that the selected solution provides some added advantage beyond flood risk. This is separate from changes property value (see increases property value).,"""It helps the economy""; ""Everyone benefits from having  insurance""; ""Cost effective measure and as i get older more other emergencies could arise.I would need access to my home at all tomes""; ""So it doesn't get as dirty"""
Perception and Personal Judgment,other considerations,environmental impact,participants consider environmental impacts in their decision.,"""I think its the least that can be done with little environmental effects.""; ""I'm trying to save money plus trying to do what's right for the environment.""; ""It seems like the lesser of 2 evils, and I mean come on, Paving your road isn't the best""; "
Perception and Personal Judgment,other considerations,erosion control,participants indicate wanting to protect against erosion.,"""erosion is very likely""; ""To control erosion for future damages""; ""To stop land erosion.""; ""to protect from erotion"""
Perception and Personal Judgment,hassle of dealing with flooding,likely to move,participants mention that they would not buy the property in the scenario or would sell it to avoid dealing with flooding.,"""Because I wouldn't live in a place that was prone to flooding.""; ""I wouldn't purchase a home in a flood prone area.""; ""Sell the house in time""; ""I would not on own a house that floods every time it rains, 1.9 inches I would sell it"""
Perception and Personal Judgment,other considerations,risks associated with insurance,participants indicate that there are risks to buying insurance.,"""Policies changes""; ""because of the homeowners insurance risks"""
Protection and Preparedness,protection and prevention,best level of protection,participants mention they prefer the best or highest level of protection.,"""Would rather have more protection than I need than not enough""; ""Cobers the most rainfall events""; ""It would be the best in overall protection""; ""This is the best protection."""
Protection and Preparedness,protection and prevention,to be prepared and protect,participants mention that it is always good to plan and be prepared so that can be better protected in the event an event occurs. That it is too risky to not plan for protection.,"""Insurance is risk protection. No need to consult a chart to make a purchase decision.""; ""One always purchases insurance for protection, home, flood, home warranty, car, and if you rent renters insurance. It is beneficial in the long run, life is unpredictable.""; ""Better to have the insurance and not need it than to not have it and need it."""
Protection and Preparedness,protection and prevention,protection of home and family,"participants indicate their answer is based on wanting to protect their property, possessions, themselves, or their family.","""To protect my property that might be damage from the water""; ""To save my possessions""; ""To protect the house from any future damage""; ""Because I'm concerned about my safety""; ""For the safety of my family""; "
Protection and Preparedness,protection and prevention,safe than sorry,particpants mention it is a safer option or helps them feel safer.,"""Better to be safe than sorry""; ""Because I know it would have me feel at ease knowing that I am convered""; ""Peace of mind"""
Protection and Preparedness,protection and prevention,watch and decide later,participants mention they will start with a lower cost solution to see if the issue is solved before implementing a big fix.,"""To study the case before making solution to the problem""; ""Lit seemed the most logical. But as an owner I would need to see steepness and at least one flood. You could do pavers for a lot less than 7000""; ""I would try this first then if that didn't work try something else""; ""it's the most inexpensive and I'd like to see if this remedies the problem before I need to make it to the next financial level"""
Protection and Preparedness,protection and prevention,not needed,participants indicate that implementing a solution is not needed.,"""Don't need""; ""No because that a waste""; ""not likely to need it""; ""The flood wasn't my fault"""
Protection and Preparedness,other considerations,long lasting,participants mention that the solution lasts a long time or is a permanent solution.,"""Longevity""; ""More money up front but better in the long run""; ""best option that will last the longest""; ""Makes more sense to do the 30 year plan""; ""Pavement sounds more permanent of a solution.""; ""If I pave my problem is permanently solved."""
Protection and Preparedness,other considerations,other actions can be done,participants indicate that other solutions or actions can be applied to deal with the problem. ,"""My mom would most likely to prevent spread to the house and to avoid damp situations""; ""put the cost of ins. aside"""
No Reason,unable to provide a reason,?,the answer provided was not clear enough to determine what they meant.,
No Reason,unable to provide a reason,no comment,participants did not provide a reason for their answer.,"""None""; ""No comment""; ""NA""; """""
No Reason,unable to provide a reason,I don't know,"participants answer the question with ""I don't know"".","""I don't know""; ""Idk"""