,block,general,primary cycle codes
1,Area_Freq,good as is,good as is
2,Area_Freq,,no comment
3,Area_Freq,,no comment
4,Area_Freq,,no comment
5,Area_Freq,,no comment
6,Area_Freq,No,no comment
7,Area_Freq,None,no comment
8,Area_Freq,N/A,no comment
9,Area_Freq,0,no comment
10,Area_Freq,None,no comment
11,Area_Freq,No,no comment
12,Area_Freq,Nothing at this time ,no comment
13,Area_Freq,I do not have any,no comment
14,Area_Freq,N/a,no comment
15,Area_Freq,The survey was very interesting.,good survey
16,Area_Freq,,no comment
17,Area_Freq,No comment ,no comment
18,Area_Freq,None,no comment
19,Area_Freq,Survey ,no comment
20,Area_Freq,,no comment
21,Area_Freq,,no comment
22,Area_Freq,That was very cool. Thank You,good survey
23,Area_Freq,None.,no comment
24,Area_Freq,fast and interest survey,good survey
25,Area_Freq,,no comment
26,Area_Freq,N/a,no comment
27,Area_Freq,,no comment
28,Area_Freq,,no comment
29,Area_Freq,,no comment
30,Area_Freq,,no comment
31,Area_Freq,,no comment
32,Area_Freq,,no comment
33,Area_Freq,Don't Have Any ,no comment
34,Area_Freq,I would explain what the dots represent.,define terminology
35,Area_Freq,You can't the numbers speak for themselves,no comment
36,Area_Freq,,no comment
37,Area_Freq,thanks for allowing me to share my opinion in this research,thank you
38,Area_Freq,,no comment
39,Area_Freq,,no comment
40,Area_Freq,No additional comments,no comment
41,Area_Freq,,no comment
42,Area_Freq,,no comment
43,Area_Freq,,no comment
44,Area_Freq,Thank you.,thank you
45,Area_Freq,,no comment
46,Area_Freq,,no comment
47,Area_Freq,,no comment
48,Area_Freq,The survey was great ,good survey
49,Area_Freq,none,no comment
50,Area_Freq,,no comment
51,Area_Freq,,no comment
52,Area_Freq,,no comment
53,Area_Freq,The graph was okay but needs more labels ,add more/ clearer labels
54,Area_Freq,,no comment
55,Area_Freq,,no comment
56,Area_Freq,,no comment
57,Area_Freq,,no comment
58,Area_Freq,,no comment
59,Area_Freq,,no comment
60,Area_Freq,,no comment
61,Area_Freq,,no comment
62,Area_Freq,none,no comment
63,Area_Freq,,no comment
64,Area_Freq,none,no comment
65,Area_Freq,make them easier to read,make easier to read
66,Area_Freq,,no comment
67,Area_Freq,,no comment
68,Area_Freq,,no comment
69,Area_Freq,,no comment
70,Area_Freq,,no comment
71,Area_Freq,,no comment
72,Area_Freq,,no comment
73,Area_Freq,,no comment
74,Area_Freq,,no comment
75,Area_Freq,,no comment
76,Area_Freq,,no comment
77,Area_Freq,,no comment
78,Area_Freq,,no comment
79,Area_Freq,,no comment
80,Area_Freq,To me the 2nd graph was somewhat easier to understand than the first.,intensity graph easier to read
81,Area_Freq,,no comment
82,Area_Freq,,no comment
83,Area_Freq,Make them easier to understand ,make easier to understand
84,Area_Freq,,no comment
85,Area_Freq,,no comment
86,Area_Freq,,no comment
87,Area_Freq,,no comment
88,Area_Freq,,no comment
89,Area_Freq,Don't like graphs,I don't like the graphs
90,Area_Freq,none,no comment
91,Area_Freq,I liked it,good survey
92,Area_Freq,Fun study ,good survey
93,Area_Freq,,no comment
94,Area_Freq,differentiate colors more,differentiate colors more
95,Area_Freq,,no comment
96,Area_Freq,,no comment
97,Area_Freq,,no comment
98,Area_Freq,,no comment
99,Area_Freq,,no comment
100,Area_Freq,,no comment
101,Area_Freq,,no comment
102,Area_Freq,I was confused by the peaks.,peaks are confusing
103,Area_Freq,,no comment
104,Area_Freq,"I found this to be very interesting, and I only wish I understood the graph a lot more.  ",make easier to understand
105,Area_Freq,,no comment
106,Area_Freq,,no comment
107,Area_Freq,,no comment
108,Area_Freq,Reading and seeing everything new and modern in this fun field,good survey
109,Area_Freq,,no comment
110,Area_Freq,,no comment
111,Area_Freq,,no comment
112,Area_Freq,,no comment
113,Area_Freq,,no comment
114,Area_Freq,,no comment
115,Area_Freq,,no comment
116,Area_Freq,,no comment
117,Area_Freq,None,no comment
118,Area_Freq,,no comment
119,Area_Freq,,no comment
120,Area_Freq,,no comment
121,Area_Freq,Tired of being homeless ,?
122,Area_Freq,,no comment
123,Area_Freq,,no comment
124,Area_Freq,I don’t have any at this time.,no comment
125,Area_Freq,,no comment
126,Area_Freq,,no comment
127,Area_Freq,No comment ,no comment
128,Area_Freq,,no comment
129,Area_Freq,No this is good.from a fellow Penn State grad.,good as is
130,Area_Freq,,no comment
131,Area_Freq,I enjoyed the survey it was informative and it made me want to go back to school and further my education ,inspirational
132,Area_Freq,,no comment
133,Area_Freq,,no comment
134,Area_Freq,,no comment
135,Area_Freq,Tough ,too technical/ tough
136,Area_Freq,,no comment
137,Area_Freq,,no comment
138,Area_Freq,⭐️⭐️⭐️⭐️⭐️,good as is
139,Area_Freq,,no comment
140,Area_Freq,,no comment
141,Area_Freq,,no comment
142,Area_Freq,None,no comment
143,Area_Freq,,no comment
144,Area_Freq,,no comment
145,Area_Freq,it was very improve graphs,improvement needed
146,Area_Freq,,no comment
147,Area_Freq,,no comment
148,Area_Freq,,no comment
149,Area_Freq,Everything was pretty good understandable,good as is
150,Area_Freq,It was hard to discern answers from those graphs. ,make easier to read
151,Area_Freq,,no comment
152,Area_Freq,Nothing,no comment
153,Area_Freq,This was a necessary survey on the public can assess why human involvement is real in modifying climate change measures.,good survey
154,Area_Freq,Excellent job on the ,thank you
155,Area_Freq,This Graps all ready very good,good as is
156,Area_Freq,,no comment
157,Area_Freq,Awesome ,good survey
158,Area_Freq,,no comment
159,Area_Freq,None,no comment
160,Area_Freq,,no comment
161,Area_Freq,N/a,no comment
162,Area_Freq,,no comment
163,Area_Freq,,no comment
164,Area_Freq,,no comment
165,Area_Freq,,no comment
166,Area_Freq,,no comment
167,Area_Freq,,no comment
168,Area_Freq,your graphs are awful.,improvement needed
169,Area_Freq,More numbers ,add more numbers
170,Area_Freq,,no comment
171,Area_Freq,,no comment
172,Area_Freq,,no comment
173,Area_Freq,,no comment
174,Area_Freq,,no comment
175,Area_Freq,,no comment
176,Area_Freq,The climate changes should varies into different nature of the study ,climate change
177,Area_Freq,,no comment
178,Area_Freq,,no comment
179,Area_Freq,34,no comment
180,Area_Freq,,no comment
181,Area_Freq,,no comment
182,Area_Freq,,no comment
183,Area_Freq,,no comment
184,Area_Freq,No comment ,no comment
185,Area_Freq,,no comment
186,Area_Freq,,no comment
187,Area_Freq,,no comment
188,Area_Freq,,no comment
189,Area_Freq,,no comment
190,Area_Freq,,no comment
191,Area_Freq,,no comment
192,Area_Freq,None,no comment
193,Area_Freq,,no comment
194,Area_Freq,,no comment
195,Area_Freq,,no comment
196,Area_Freq,,no comment
197,Area_Freq,,no comment
198,Area_Freq,,no comment
199,Area_Int,,no comment
200,Area_Int,,no comment
201,Area_Int,,no comment
202,Area_Int,,no comment
203,Area_Int,none,no comment
204,Area_Int,,no comment
205,Area_Int,none ,no comment
206,Area_Int,I don’t have any comments,no comment
207,Area_Int,None ,no comment
208,Area_Int,Thank you!,thank you
209,Area_Int,It was definitely interesting ,good survey
210,Area_Int,make them simplier,make simpler
211,Area_Int,made me use my brain a little more,thought provoking
212,Area_Int,none,no comment
213,Area_Int,It was great and easy to read,good as is
214,Area_Int,,no comment
215,Area_Int,,no comment
216,Area_Int,,no comment
217,Area_Int,,no comment
218,Area_Int,,no comment
219,Area_Int,,no comment
220,Area_Int,,no comment
221,Area_Int,,no comment
222,Area_Int,,no comment
223,Area_Int,Please make the graphs a little more understandable ,make easier to understand
224,Area_Int,,no comment
225,Area_Int,,no comment
226,Area_Int,,no comment
227,Area_Int,,no comment
228,Area_Int,Make bigger so you can see better maybe bar graphs.,make larger
229,Area_Int,A little more information with persuasive ,add explanation
230,Area_Int,Make it simpler ,make simpler
231,Area_Int,,no comment
232,Area_Int,,no comment
233,Area_Int,,no comment
234,Area_Int,I learned something new.,I learned something
235,Area_Int,,no comment
236,Area_Int,,no comment
237,Area_Int,,no comment
238,Area_Int,,no comment
239,Area_Int,make them less confusing and easily understandable,make easier to understand
240,Area_Int,,no comment
241,Area_Int,,no comment
242,Area_Int,,no comment
243,Area_Int,,no comment
244,Area_Int,,no comment
245,Area_Int,No,no comment
246,Area_Int,,no comment
247,Area_Int,,no comment
248,Area_Int,,no comment
249,Area_Int,,no comment
250,Area_Int,,no comment
251,Area_Int,,no comment
252,Area_Int,,no comment
253,Area_Int,I would need to know a great deal more about the imputed stats and how they were arrived at to guess further,methods/ data sources wanted
254,Area_Int,,no comment
255,Area_Int,,no comment
256,Area_Int,None,no comment
257,Area_Int,,no comment
258,Area_Int,,no comment
259,Area_Int,bigger print,larger font
260,Area_Int,,no comment
261,Area_Int,,no comment
262,Area_Int,none,no comment
263,Area_Int,Nothing comes to mind ,no comment
264,Area_Int,None,no comment
265,Area_Int,It was interesting ,good survey
266,Area_Int,Nothing ,no comment
267,Area_Int,,no comment
268,Area_Int,,no comment
269,Area_Int,,no comment
270,Area_Int,,no comment
271,Area_Int,,no comment
272,Area_Int,,no comment
273,Area_Int,,no comment
274,Area_Int,like it little hard ,too technical/ tough
275,Area_Int,,no comment
276,Area_Int,,no comment
277,Area_Int,,no comment
278,Area_Int,They could be slightly easier to interpret,make easier to understand
279,Area_Int,,no comment
280,Area_Int,,no comment
281,Area_Int,,no comment
282,Area_Int,make easier to read,make easier to read
283,Area_Int,,no comment
284,Area_Int,,no comment
285,Area_Int,,no comment
286,Area_Int,,no comment
287,Area_Int,I would have a walk through question and answer to demonstrate how the graphs are used,add demo example
288,Area_Int,,no comment
289,Area_Int,,no comment
290,Area_Int,none,no comment
291,Area_Int,,no comment
292,Area_Int,,no comment
293,Area_Int,,no comment
294,Area_Int,,no comment
295,Area_Int,,no comment
296,Area_Int,,no comment
297,Area_Int,Fun survey ,good survey
298,Area_Int,,no comment
299,Area_Int,,no comment
300,Area_Int,,no comment
301,Area_Int,,no comment
302,Area_Int,,no comment
303,Area_Int,,no comment
304,Area_Int,,no comment
305,Area_Int,No comment,no comment
306,Area_Int,,no comment
307,Area_Int,,no comment
308,Area_Int,,no comment
309,Area_Int,,no comment
310,Area_Int,,no comment
311,Area_Int,,no comment
312,Area_Int,,no comment
313,Area_Int,,no comment
314,Area_Int,,no comment
315,Area_Int,,no comment
316,Area_Int,,no comment
317,Area_Int,,no comment
318,Area_Int,no think,no comment
319,Area_Int,The question is very impressive I love it.,good survey
320,Area_Int,,no comment
321,Area_Int,,no comment
322,Area_Int,,no comment
323,Area_Int,Liking the image ,good as is
324,Area_Int,,no comment
325,Area_Int,,no comment
326,Area_Int,I don’t like it it doesn’t help me at all,I don't like the graphs
327,Area_Int,,no comment
328,Area_Int,,no comment
329,Area_Int,,no comment
330,Area_Int,,no comment
331,Area_Int,,no comment
332,Area_Int,,no comment
333,Area_Int,Make it more different.,improvement needed
334,Area_Int,,no comment
335,Area_Int,,no comment
336,Area_Int,,no comment
337,Area_Int,I loved it,good survey
338,Area_Int,,no comment
339,Area_Int,None,no comment
340,Area_Int,I think by adding more info to help easy the understanding like adding description to refer each phase ,define terminology
341,Area_Int,,no comment
342,Area_Int,,no comment
343,Area_Int,,no comment
344,Area_Int,,no comment
345,Area_Int,,no comment
346,Area_Int,N/A,no comment
347,Area_Int,Everything was ok with me.,good as is
348,Area_Int,,no comment
349,Area_Int,,no comment
350,Area_Int,,no comment
351,Area_Int,,no comment
352,Area_Int,,no comment
353,Area_Int,,no comment
354,Area_Int,Less complexity please,make simpler
355,Area_Int,,no comment
356,Area_Int,Good one,good as is
357,Area_Int,,no comment
358,Area_Int,,no comment
359,Area_Int,,no comment
360,Area_Int,,no comment
361,Area_Int,,no comment
362,Area_Int,,no comment
363,Area_Int,The graphs didn't make sense,make easier to understand
364,Area_Int,,no comment
365,Area_Int,No,no comment
366,Area_Int,No,no comment
367,Area_Int,,no comment
368,Area_Int,Nothing ,no comment
369,Area_Int,Make them easier to interpret. ,make easier to understand
370,Area_Int,Interesting,good survey
371,Area_Int,,no comment
372,Area_Int,,no comment
373,Area_Int,,no comment
374,Area_Int,Progress bar please,add progress bar
375,Area_Int,,no comment
376,Area_Int,Nice ,good as is
377,Area_Int,,no comment
378,Area_Int,,no comment
379,Area_Int,,no comment
380,Area_Int,None,no comment
381,Area_Int,They are already fresh,good as is
382,Area_Int,make it more easier to understand ,make easier to understand
383,Area_Int,no think you,no comment
384,Area_Int,Na,no comment
385,Area_Int,,no comment
386,Area_Int,,no comment
387,Area_Int,,no comment
388,Area_Int,,no comment
389,Area_Int,,no comment
390,Area_Int,Nice survey ,good survey
391,Area_Int,,no comment
392,Area_Int,,no comment
393,Area_Int,,no comment
394,Area_Int,,no comment
395,Area_Int,Its fine,good as is
396,Area_Int,,no comment
397,Bar_freq,,no comment
398,Bar_freq,,no comment
399,Bar_freq,,no comment
400,Bar_freq,,no comment
401,Bar_freq,,no comment
402,Bar_freq,There was too much explanation at the begining which I did not understand.  Then the questions that followed were even harder to understand.  emissions vs rainfall had me confused.,make easier to understand
403,Bar_freq,,no comment
404,Bar_freq,,no comment
405,Bar_freq,,no comment
406,Bar_freq,None,no comment
407,Bar_freq,None ,no comment
408,Bar_freq,None,no comment
409,Bar_freq,None,no comment
410,Bar_freq,Do not manipulate to support propaganda by those paying for climate studies ,global warming is a hoax
411,Bar_freq,,no comment
412,Bar_freq,,no comment
413,Bar_freq,Thank you so much for making my opinion matter on this topic. I am so very grateful and appreciate the opportunity. Have a blessed and elegant day! Namaste,thank you
414,Bar_freq,,no comment
415,Bar_freq,maybe add more color,add more colors
416,Bar_freq,,no comment
417,Bar_freq,,no comment
418,Bar_freq,Great survey ,good survey
419,Bar_freq,,no comment
420,Bar_freq,,no comment
421,Bar_freq,,no comment
422,Bar_freq,No ,no comment
423,Bar_freq,,no comment
424,Bar_freq,,no comment
425,Bar_freq,N/A,no comment
426,Bar_freq,,no comment
427,Bar_freq,DONT'K NOW BUT ASSUME THEY ARE GREAT,good as is
428,Bar_freq,,no comment
429,Bar_freq,,no comment
430,Bar_freq,,no comment
431,Bar_freq,Thank you for the survey!,thank you
432,Bar_freq,,no comment
433,Bar_freq,none,no comment
434,Bar_freq,none,no comment
435,Bar_freq,Thought provoking,thought provoking
436,Bar_freq,,no comment
437,Bar_freq,,no comment
438,Bar_freq,,no comment
439,Bar_freq,,no comment
440,Bar_freq,Nothing I can think of ,no comment
441,Bar_freq,,no comment
442,Bar_freq,,no comment
443,Bar_freq,"IF, AND IT IS A BIG IF, THE CLIMATE IS ACTUALLY CHANGING, THERE IS NOTHING ANY AMOUNT OF MONEY OR CHANGES MADE BY HUMANS WILL HAVE ANY EFFECT ON IT....THE EARTHS CLIMATE IS CONTROLLED BY OUR SUN, ...AND WILL ALWAYS BE CONTROLLED BY OUR SUN, UNTIL IN MILLIONS OR BILLIONS OF YEARS FROM NOW THE SUN BURNS OUT....NOTHING ELSE CONTROLS OUR CLIMATE LIKE THE SUN DOES AND WILL CONTINRUE TO DO...",global warming is a hoax
444,Bar_freq,,no comment
445,Bar_freq,,no comment
446,Bar_freq,,no comment
447,Bar_freq,,no comment
448,Bar_freq,,no comment
449,Bar_freq,,no comment
450,Bar_freq,,no comment
451,Bar_freq,,no comment
452,Bar_freq,I wasn't clear on the probabilities. ,define terminology
453,Bar_freq,confusing wording and not enough preface about our confidnece in graph interpertations,define terminology
454,Bar_freq,none,no comment
455,Bar_freq,Don't use hindcast words & use better percentage diagrams,define terminology
456,Bar_freq,,no comment
457,Bar_freq,too long,survey too long
458,Bar_freq,,no comment
459,Bar_freq,,no comment
460,Bar_freq,I think the graphs should cover a longer period of time. Look at least a century.,cover longer time period
461,Bar_freq,"It was different, but I liked it ",no comment
462,Bar_freq,,no comment
463,Bar_freq,,no comment
464,Bar_freq,,no comment
465,Bar_freq,,no comment
466,Bar_freq,,no comment
467,Bar_freq,None,no comment
468,Bar_freq,,no comment
469,Bar_freq,,no comment
470,Bar_freq,,no comment
471,Bar_freq,,no comment
472,Bar_freq,Interesting study ,good survey
473,Bar_freq,,no comment
474,Bar_freq,An example explanation of one of the scenarios means and show the results of one of the question blocks presented,add demo example
475,Bar_freq,,no comment
476,Bar_freq,,no comment
477,Bar_freq,,no comment
478,Bar_freq,,no comment
479,Bar_freq,,no comment
480,Bar_freq,None ,no comment
481,Bar_freq,"There are two countries responsible for ~80% of harmful emmisions.  China and India.  The United States is a MINOR participant to climate change...in fact, Europe contributes more.  So we can get on the bandwagon and screw our economy and uproot people and cause more and more polarity to do nothing.   Fix the international scene...stop wasting time here doing things that mean nothing but harm ",global warming is a hoax
482,Bar_freq,,no comment
483,Bar_freq,,no comment
484,Bar_freq,,no comment
485,Bar_freq,,no comment
486,Bar_freq,,no comment
487,Bar_freq,,no comment
488,Bar_freq,,no comment
489,Bar_freq,,no comment
490,Bar_freq,,no comment
491,Bar_freq,,no comment
492,Bar_freq,,no comment
493,Bar_freq,,no comment
494,Bar_freq,,no comment
495,Bar_freq,,no comment
496,Bar_freq,,no comment
497,Bar_freq,Climate,climate change
498,Bar_freq,This was an interesting survey,good survey
499,Bar_freq,,no comment
500,Bar_freq,,no comment
501,Bar_freq,,no comment
502,Bar_freq,,no comment
503,Bar_freq,None,no comment
504,Bar_freq,,no comment
505,Bar_freq,,no comment
506,Bar_freq,No it was put together nicely thank you ,thank you
507,Bar_freq,Make them more knowledgeable and understanding for the people who really don't have any understanding about grass scenarios,make easier to understand
508,Bar_freq,Nothing but great survey penn state,good survey
509,Bar_freq,Nice,good survey
510,Bar_freq,,no comment
511,Bar_freq,I think the historical grey section was a little hard to understand.,define terminology
512,Bar_freq,,no comment
513,Bar_freq,,no comment
514,Bar_freq,,no comment
515,Bar_freq,,no comment
516,Bar_freq,Bigger print on survey,larger font
517,Bar_freq,,no comment
518,Bar_freq,,no comment
519,Bar_freq,,no comment
520,Bar_freq,"i think the graph was fine, im sure i misread it though",good as is
521,Bar_freq,,no comment
522,Bar_freq,,no comment
523,Bar_freq,,no comment
524,Bar_freq,,no comment
525,Bar_freq,The graph help in showing the amount of rainfall and historical ,good as is
526,Bar_freq,The graph could be bigger ,make larger
527,Bar_freq,,no comment
528,Bar_freq,,no comment
529,Bar_freq,,no comment
530,Bar_freq,Need to explain them better ,improve explanations
531,Bar_freq,,no comment
532,Bar_freq,I support this kind of market research activity.,good survey
533,Bar_freq,,no comment
534,Bar_freq,,no comment
535,Bar_freq,,no comment
536,Bar_freq,,no comment
537,Bar_freq,,no comment
538,Bar_freq,,no comment
539,Bar_freq,2900,no comment
540,Bar_freq,,no comment
541,Bar_freq,,no comment
542,Bar_freq,Great Survey!,good survey
543,Bar_freq,,no comment
544,Bar_freq,,no comment
545,Bar_freq,,no comment
546,Bar_freq,I learned a lot ,I learned something
547,Bar_freq,,no comment
548,Bar_freq,the graph is vary helpful us,the graph was helpful
549,Bar_freq,Great survey ,good survey
550,Bar_freq,,no comment
551,Bar_freq,,no comment
552,Bar_freq,,no comment
553,Bar_freq,,no comment
554,Bar_freq,,no comment
555,Bar_freq,,no comment
556,Bar_freq,,no comment
557,Bar_freq,,no comment
558,Bar_freq,,no comment
559,Bar_freq,,no comment
560,Bar_freq,,no comment
561,Bar_freq,,no comment
562,Bar_freq,,no comment
563,Bar_freq,The graphs are pretty hard to understand. It needs to be more simple and earlier to understand,make simpler
564,Bar_freq,,no comment
565,Bar_freq,All of it,improvement needed
566,Bar_freq,,no comment
567,Bar_freq,Technical,too technical/ tough
568,Bar_freq,,no comment
569,Bar_freq,,no comment
570,Bar_freq,,no comment
571,Bar_freq,,no comment
572,Bar_freq,,no comment
573,Bar_freq,,no comment
574,Bar_freq,no,no comment
575,Bar_freq,,no comment
576,Bar_freq,None I think it’s very easy to understand ,good as is
577,Bar_freq,it needs work,improvement needed
578,Bar_freq,,no comment
579,Bar_freq,,no comment
580,Bar_freq,,no comment
581,Bar_freq,,no comment
582,Bar_freq,great survey,good survey
583,Bar_freq,,no comment
584,Bar_freq,,no comment
585,Bar_freq,,no comment
586,Bar_freq,,no comment
587,Bar_freq,,no comment
588,Bar_freq,,no comment
589,Bar_freq,,no comment
590,Bar_freq,Good ,good as is
591,Bar_freq,,no comment
592,Bar_freq,,no comment
593,Bar_freq,,no comment
594,Bar_int,,no comment
595,Bar_int,,no comment
596,Bar_int,,no comment
597,Bar_int,,no comment
598,Bar_int,The graphics were fairly understandable. ,good as is
599,Bar_int,,no comment
600,Bar_int,Nothing,no comment
601,Bar_int,It was informative ,informative
602,Bar_int,To make grapes easy to read,make easier to read
603,Bar_int,,no comment
604,Bar_int,,no comment
605,Bar_int,I enjoyed this survey,good survey
606,Bar_int,Very interesting,good survey
607,Bar_int,,no comment
608,Bar_int,,no comment
609,Bar_int,Be specific ,make simpler
610,Bar_int,Having a.percentage graph as well would make them easier to interpret ,use different graph type
611,Bar_int,,no comment
612,Bar_int,Good luck with your study ,no comment
613,Bar_int,,no comment
614,Bar_int,,no comment
615,Bar_int,,no comment
616,Bar_int,,no comment
617,Bar_int,,no comment
618,Bar_int,,no comment
619,Bar_int,Make the print larger,larger font
620,Bar_int,,no comment
