Point precipitation frequency estimates (inches),,,,,,,,,,
NOAA Atlas 14 Volume 10 Version 3,,,,,,,,,,
Data type: Precipitation depth,,,,,,,,,,
Time series type: Partial duration,,,,,,,,,,
Project area: Northeastern States,,,,,,,,,,
Location name (ESRI Maps): Newbury, New Hampshire, USA,,,,,,,,
Station Name: MT SUNAPEE,,,,,,,,,,
Latitude: 43.3402°,,,,,,,,,,
Longitude: -72.0720°,,,,,,,,,,
Elevation (USGS): 1270 ft,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRECIPITATION FREQUENCY ESTIMATES,,,,,,,,,,
by duration for ARI (years):,1,2,5,10,25,50,100,200,500,1000
5-min:,0.286,0.343,0.437,0.515,0.622,0.703,0.788,0.885,1.03,1.14
10-min:,0.405,0.486,0.619,0.73,0.882,0.996,1.12,1.25,1.45,1.62
15-min:,0.477,0.572,0.728,0.858,1.04,1.17,1.31,1.48,1.71,1.91
30-min:,0.67,0.804,1.02,1.21,1.46,1.65,1.84,2.07,2.4,2.68
60-min:,0.863,1.04,1.32,1.55,1.88,2.12,2.37,2.67,3.09,3.44
2-hr:,1.1,1.32,1.69,1.99,2.41,2.73,3.06,3.46,4.05,4.56
3-hr:,1.26,1.52,1.94,2.3,2.78,3.14,3.53,4,4.71,5.31
6-hr:,1.59,1.92,2.46,2.9,3.52,3.97,4.46,5.06,5.98,6.77
12-hr:,2,2.41,3.08,3.64,4.4,4.97,5.58,6.32,7.45,8.42
24-hr:,2.46,2.96,3.77,4.45,5.38,6.08,6.82,7.71,9.05,10.2
2-day:,2.93,3.52,4.49,5.3,6.41,7.24,8.12,9.15,10.7,12
3-day:,3.23,3.88,4.93,5.81,7.02,7.92,8.88,9.99,11.6,13
4-day:,3.48,4.16,5.28,6.2,7.48,8.43,9.44,10.6,12.3,13.8
7-day:,4.12,4.88,6.11,7.13,8.54,9.6,10.7,12,13.9,15.4
10-day:,4.74,5.54,6.84,7.93,9.42,10.5,11.7,13,15,16.6
20-day:,6.63,7.51,8.94,10.1,11.8,13,14.3,15.6,17.5,18.9
30-day:,8.21,9.14,10.7,11.9,13.7,15,16.3,17.7,19.4,20.7
45-day:,10.2,11.2,12.8,14.1,16,17.5,18.9,20.2,21.8,23
60-day:,11.8,12.9,14.6,16,18,19.5,21,22.3,24,25.1