"","name","CHAL1_ans","CHAL1_txt","CHAL1_con","CHAL2_ans","CHAL2_txt","CHAL2_con"
"11","Area_Freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","None","very confident","yes","None","very confident"
"17","Area_Freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","no interruptions from the rain","extremely confident","no","no danger of flood damage","extremely confident"
"18","Area_Freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Because it's a permanent solution ","very confident","yes","It just makes sense to be ready","very confident"
"23","Area_Freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Will cost less in long run","extremely confident","yes","To avoid out of pocket expenses ","extremely confident"
"24","Area_Freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Last longer for my money ","extremely confident","yes","So I don't have to pay out of pocket ","extremely confident"
"45","Area_Freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Best economic choice","extremely confident","no","I do not live in a flood plain","extremely confident"
"57","Area_Freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","protection for 4 heavy rainfall events with the best economical solution","moderately confident","yes","There is a great chance for many flooding events","not very confident"
"64","Area_Freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","I'm not great with graphs but it looks like there was at least 2 to 3 big rainfall events so pave it and you won't worrie.","moderately confident","yes","It has already had a flood event so I'm not sure from your graph but I would get the insurance. ","moderately confident"
"4","Area_Int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Nothing ","extremely confident","yes","Nothing just need it w the weather always changes ","extremely confident"
"13","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","look good","very confident","yes","it is good","very confident"
"27","Area_Int","install improved erosion control measures that protect against 4 heavy rainfall events per year","paving the driveway","moderately confident","yes","the building cost ","moderately confident"
"30","Area_Int","install basic erosion control measures that protect against 2 heavy rainfall events per year","heavy rainfall in increasing but it's not certain","moderately confident","no","it depends where you live, the graph is irrelevant","not very confident"
"33","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","We have that kind of driveway and for many reasons I would prefer to see it paved to make it easier to use.","extremely confident","no","There does not seem to be enough chance of flooding.","very confident"
"42","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","More heavy rainfall events are likely and this seems like the best solution.","moderately confident","yes","Chances for more flooding are increasing.","very confident"
"48","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Initial cost is high, but give the most logical protection for the longest time frame","very confident","no","I based my decision on price.  10 yrs of insurance would cost $57,600  and you could easily put away 1/2 that much and have enough with interest to cover the cost if anything does happen.  If it has not happened in 10 yrs., I would take the chance.  also I think changes to the property could help prevent flooding.","moderately confident"
"49","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Low maintenance, ease of mind","extremely confident","yes","Heavy rain events more likely","very confident"
"50","Area_Int","install improved erosion control measures that protect against 4 heavy rainfall events per year","","moderately confident","yes","No comment ","moderately confident"
"55","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","idk iu idiots","extremely confident","no","idk","extremely confident"
"58","Area_Int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","no problem thereafter","very confident","yes","affordable protection","very confident"
"62","Area_Int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Most logical option","extremely confident","yes","because its the most logical","very confident"
"9","Bar_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","i can't put out the high amounts for the best protection","moderately confident","no","because i don't have the money","not at all confident"
"15","Bar_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Paving is best option ","extremely confident","yes","Because of the rain fall","extremely confident"
"28","Bar_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","erosion is very likely","moderately confident","yes","it seems flooding is possible","moderately confident"
"32","Bar_freq","do nothing (protect against 0 heavy rainfall events per year)","","extremely confident","no","","not at all confident"
"35","Bar_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","This thing doing can be well","very confident","no","none","very confident"
"37","Bar_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","it looks like the most cost effective","moderately confident","yes","it looks like it is wise","very confident"
"44","Bar_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","long term results, no maintenance","extremely confident","yes","previously flooded at 1.9%","extremely confident"
"51","Bar_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","it's the most inexpensive and I'd like to see if this remedies the problem before I need to make it to the next financial level","moderately confident","yes","saves my home form expensive repairs","moderately confident"
"61","Bar_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","It is the most economical for me ","moderately confident","no","It is not frequent enough in my area to warrant it ","moderately confident"
"66","Bar_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","It seems to be the most cost-effective choice given that according to the graph, heavy rainfall events will not occur more than 2 days per year until 2040.","moderately confident","yes","The description said that 1.9 inches of rainfall in a day caused the prvious homeowner $25,000 in damages. The graph shows that for the current period (2020-2049), average rainfall will exceed 1.9 inches, making purchasing an insurance policy the most cost-effective option on average (according to the model).","extremely confident"
"10","Bar_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","If you’re ","very confident","yes","It’s great to have ","very confident"
"16","Bar_int","do nothing (protect against 0 heavy rainfall events per year)","i dont know enough to make a decision","moderately confident","no","it's not worth the cost","moderately confident"
"22","Bar_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","I want to take precautions","extremely confident","yes","I do not want to incur high costs of floods","extremely confident"
"26","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Erosion would need to be addressed first","moderately confident","yes","Seems like the best thing to do","moderately confident"
"34","Bar_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","Too expensive ","very confident","yes","Good to be prepared ","very confident"
"36","Bar_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Would solve problem long term","moderately confident","yes","Unpredictability of flooding again","moderately confident"
"38","Bar_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","makes more sence","very confident","yes","because of morgage length ","moderately confident"
"41","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Graph shows between 2-3 heavy rainfall events per year.  I chose one more to protect against 4 for good measure. ","very confident","yes","Rainfalls exceeding 1.9 inches in 24 hours happen 1.6 days per year","extremely confident"
"43","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Itwould provide protection without a major expense and shoul last for the most part.","moderately confident","yes","Based on a high probability of increased rain events about the 1.9% level and knoing that even a single flood event will be expensive. ","not very confident"
"46","Bar_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Is there high probability of damage I would want take care of it right away and not worry about damage work and costs","very confident","yes","The probability of heavy rain is high","very confident"
"54","Bar_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","That seems like the right choice given the forecast.","moderately confident","no","The rainfall amount doesn't seem severe enough to warrant buying flood insurance.","moderately confident"
"59","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","The only ","extremely confident","yes","1","extremely confident"
"60","Bar_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","Lower cost and not as much rain as the last option","moderately confident","yes","Possible more rain","moderately confident"
"2","Box_freq","do nothing (protect against 0 heavy rainfall events per year)","I like everything about this.","moderately confident","no","I like everything about this.","extremely confident"
"5","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","None ","not at all confident","no","None ","not at all confident"
"6","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","It is the most secure an economical overtime","very confident","yes","How heavy rainfall will increase","very confident"
"7","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Great","extremely confident","no","Great","very confident"
"12","Box_freq","install basic erosion control measures that protect against 2 heavy rainfall events per year","It was just right ","extremely confident","no","No","moderately confident"
"25","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Looks of it ","moderately confident","yes","Flood insurance is important ","very confident"
"29","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","In the end, given rainfall predictions, it is most cost effective","very confident","yes","Again, it's more of cost effective over time","moderately confident"
"40","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Because it doesn’t need to be redone for 4 years","moderately confident","yes","Because the amount of rainfall is bound to increase over time and I feel like it would be a good idea to plan for it.","extremely confident"
"47","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","not sure","extremely confident","yes","the 1.6 days per year ","very confident"
"53","Box_freq","pave the driveway (protect against 120 heavy rainfall events over 30 years)","i really dont understand the graphic","moderately confident","yes","the increase of rain","not very confident"
"56","Box_freq","do nothing (protect against 0 heavy rainfall events per year)","None","not very confident","no","None","not very confident"
"63","Box_freq","install improved erosion control measures that protect against 4 heavy rainfall events per year","Unless I want to spend the $7000, it would be the most cost efficient way to go assuming I had less than 4 washout events a year. ","moderately confident","yes","It is almost guaranteed that I will have another flood.","moderately confident"
"3","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","anything","very confident","no","anything","extremely confident"
"8","Box_int","install basic erosion control measures that protect against 2 heavy rainfall events per year","Cost effective vs. lump sum","moderately confident","no","I do not live in a flooding prone area.","moderately confident"
"14","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","don't know","moderately confident","yes","safety","moderately confident"
"19","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","It would be a more practical choice","moderately confident","yes","It floods a lot in this area","moderately confident"
"20","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","The right side","extremely confident","no","It makes the most sense to me","moderately confident"
"21","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","Because I would prefer a paved driveway anyway, regardless of the maintenance cost.","extremely confident","yes","The likelihood of an heavy rain event is likely to increase, and there's already been one in the last 10 years.","moderately confident"
"31","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","the cost to pave","not very confident","no","it does not raine enough","moderately confident"
"39","Box_int","pave the driveway (protect against 120 heavy rainfall events over 30 years)","fix & forget","extremely confident","yes","rains 1.9 "" per year","extremely confident"
"52","Box_int","do nothing (protect against 0 heavy rainfall events per year)","because i couldn't care less.","not at all confident","no","saying it only covers 350,000 dollars","not at all confident"
"65","Box_int","install improved erosion control measures that protect against 4 heavy rainfall events per year","More Value","extremely confident","yes","Because it increases the value overtime","extremely confident"
