"","driveway","insurance","general","time","USE2","USE3","USE4","USE5","USE6","USE7","USE8","USE9","USE10","USE11","same"
"1","None","None","None",3.66666666666667,4,3,5,4,4,3,5,4,5,4,FALSE
"2","no interruptions from the rain","no danger of flood damage","good as is",12.0166666666667,4,4,5,4,1,3,2,4,2,3,FALSE
"3","Because it's a permanent solution ","It just makes sense to be ready","",14.8833333333333,4,4,2,2,4,2,2,4,5,5,FALSE
"4","Will cost less in long run","To avoid out of pocket expenses ","",10.7666666666667,3,3,4,2,3,3,4,4,4,4,FALSE
"5","Last longer for my money ","So I don't have to pay out of pocket ","",11.55,3,2,4,2,3,2,4,3,4,3,FALSE
"6","Best economic choice","I do not live in a flood plain","",38.8333333333333,4,3,4,2,3,3,4,3,3,3,FALSE
"7","protection for 4 heavy rainfall events with the best economical solution","There is a great chance for many flooding events","",20.8666666666667,4,5,2,4,2,3,3,3,4,2,FALSE
"8","I'm not great with graphs but it looks like there was at least 2 to 3 big rainfall events so pave it and you won't worrie.","It has already had a flood event so I'm not sure from your graph but I would get the insurance. ","",72.7166666666667,4,4,3,3,4,3,4,2,4,3,FALSE
"9","Nothing ","Nothing just need it w the weather always changes ","Nothing everything was great ",5.35,5,5,5,5,5,5,5,5,5,5,TRUE
"10","look good","it is good","none",5.78333333333333,4,4,4,4,4,4,4,4,4,4,TRUE
"11","paving the driveway","the building cost ","",7.33333333333333,4,3,4,4,2,3,3,3,3,1,FALSE
"12","heavy rainfall in increasing but it's not certain","it depends where you live, the graph is irrelevant","",12.2833333333333,4,2,5,2,3,1,4,3,2,2,FALSE
"13","We have that kind of driveway and for many reasons I would prefer to see it paved to make it easier to use.","There does not seem to be enough chance of flooding.","",20.2833333333333,3,4,2,3,3,2,4,3,4,2,FALSE
"14","More heavy rainfall events are likely and this seems like the best solution.","Chances for more flooding are increasing.","",32.6,4,3,4,3,2,2,3,3,3,2,FALSE
"15","Initial cost is high, but give the most logical protection for the longest time frame","I based my decision on price.  10 yrs of insurance would cost $57,600  and you could easily put away 1/2 that much and have enough with interest to cover the cost if anything does happen.  If it has not happened in 10 yrs., I would take the chance.  also I think changes to the property could help prevent flooding.","none",50.9,2,3,4,2,4,2,4,2,3,3,FALSE
"16","Low maintenance, ease of mind","Heavy rain events more likely","",51.7,4,3,4,2,2,1,4,4,2,1,FALSE
"17","","No comment ","",6.98333333333333,1,2,4,2,4,3,4,2,4,3,FALSE
"18","idk iu idiots","idk","fuck ioff",4.21666666666667,5,5,5,5,5,5,5,5,5,5,TRUE
"19","no problem thereafter","affordable protection","",14.7833333333333,2,2,4,1,1,1,4,1,3,1,FALSE
"20","Most logical option","because its the most logical","",4.01666666666667,4,5,3,4,1,5,3,4,2,1,FALSE
"21","i can't put out the high amounts for the best protection","because i don't have the money","the descriptive copy for the graphs was terrible",7.06666666666667,1,1,5,1,5,3,5,1,2,2,FALSE
"22","Paving is best option ","Because of the rain fall","",12.7333333333333,1,1,1,5,3,4,4,3,5,5,FALSE
"23","erosion is very likely","it seems flooding is possible","",12.6,3,4,2,3,2,2,2,3,4,4,FALSE
"24","","","",13.9333333333333,1,3,5,4,2,5,5,5,5,3,FALSE
"25","This thing doing can be well","none","",12.85,3,4,3,4,5,3,3,4,4,3,FALSE
"26","it looks like the most cost effective","it looks like it is wise","",17.3666666666667,4,3,2,4,3,2,3,3,2,2,FALSE
"27","long term results, no maintenance","previously flooded at 1.9%","There was too much explanation at the begining which I did not understand.  Then the questions that followed were even harder to understand.  emissions vs rainfall had me confused.",39.1166666666667,3,3,5,1,4,1,5,1,3,4,FALSE
"28","it's the most inexpensive and I'd like to see if this remedies the problem before I need to make it to the next financial level","saves my home form expensive repairs","",6.8,3,2,5,1,2,1,5,3,1,1,FALSE
"29","It is the most economical for me ","It is not frequent enough in my area to warrant it ","",24.6666666666667,2,3,3,3,3,3,3,3,3,3,FALSE
"30","It seems to be the most cost-effective choice given that according to the graph, heavy rainfall events will not occur more than 2 days per year until 2040.","The description said that 1.9 inches of rainfall in a day caused the prvious homeowner $25,000 in damages. The graph shows that for the current period (2020-2049), average rainfall will exceed 1.9 inches, making purchasing an insurance policy the most cost-effective option on average (according to the model).","",40.85,2,2,3,3,3,2,3,3,1,1,FALSE
"31","If you’re ","It’s great to have ","",2.23333333333333,4,4,5,5,5,5,1,4,3,4,FALSE
"32","i dont know enough to make a decision","it's not worth the cost","",8.61666666666667,1,1,5,1,4,3,4,2,4,4,FALSE
"33","I want to take precautions","I do not want to incur high costs of floods","",9.31666666666667,5,5,5,5,5,5,5,5,5,5,TRUE
"34","Erosion would need to be addressed first","Seems like the best thing to do","None",18.8166666666667,2,3,4,2,4,3,4,2,3,2,FALSE
"35","Too expensive ","Good to be prepared ","",21,3,2,4,3,4,2,4,2,3,3,FALSE
"36","Would solve problem long term","Unpredictability of flooding again","",15.8,2,4,2,2,2,2,4,2,4,4,FALSE
"37","makes more sence","because of morgage length ","",21.65,2,2,3,2,4,2,4,2,4,3,FALSE
"38","Graph shows between 2-3 heavy rainfall events per year.  I chose one more to protect against 4 for good measure. ","Rainfalls exceeding 1.9 inches in 24 hours happen 1.6 days per year","",30.35,4,4,4,4,2,2,4,4,1,1,FALSE
"39","Itwould provide protection without a major expense and shoul last for the most part.","Based on a high probability of increased rain events about the 1.9% level and knoing that even a single flood event will be expensive. ","The graphics were fairly understandable. ",37.1833333333333,4,4,1,4,1,3,3,2,2,1,FALSE
"40","Is there high probability of damage I would want take care of it right away and not worry about damage work and costs","The probability of heavy rain is high","",42.6833333333333,4,4,2,4,1,4,2,4,1,1,FALSE
"41","That seems like the right choice given the forecast.","The rainfall amount doesn't seem severe enough to warrant buying flood insurance.","",20.9,3,3,4,3,2,2,4,2,3,2,FALSE
"42","The only ","1","",1.81666666666667,3,2,4,4,1,3,4,5,2,4,FALSE
"43","Lower cost and not as much rain as the last option","Possible more rain","",21.1833333333333,3,3,4,2,4,2,4,2,4,2,FALSE
"44","I like everything about this.","I like everything about this.","",2.38333333333333,3,3,4,3,3,3,3,3,3,3,FALSE
"45","None ","None ","",2.66666666666667,3,3,3,3,3,3,3,3,3,3,TRUE
"46","It is the most secure an economical overtime","How heavy rainfall will increase","They were great",6.63333333333333,4,4,2,4,2,3,2,4,3,4,FALSE
"47","Great","Great","Great",3.3,4,4,5,4,4,5,4,5,5,4,FALSE
"48","It was just right ","No","",6.23333333333333,3,3,2,2,4,2,2,3,2,2,FALSE
"49","Looks of it ","Flood insurance is important ","",10.8166666666667,4,4,4,4,4,4,4,4,4,4,TRUE
"50","In the end, given rainfall predictions, it is most cost effective","Again, it's more of cost effective over time","",15.8,2,4,4,3,4,2,4,2,4,4,FALSE
"51","Because it doesn’t need to be redone for 4 years","Because the amount of rainfall is bound to increase over time and I feel like it would be a good idea to plan for it.","",15.0833333333333,5,5,2,5,1,4,3,5,1,1,FALSE
"52","not sure","the 1.6 days per year ","",20.7166666666667,2,1,2,3,4,2,3,4,4,4,FALSE
"53","i really dont understand the graphic","the increase of rain","",10.75,3,3,5,2,5,1,4,4,4,4,FALSE
"54","None","None","",3.48333333333333,4,4,2,4,2,3,2,3,2,3,FALSE
"55","Unless I want to spend the $7000, it would be the most cost efficient way to go assuming I had less than 4 washout events a year. ","It is almost guaranteed that I will have another flood.","I don't understand how you can have descriptions of the vertical axis on both the left and the right hand side.  That was extremely confusing.",25.4333333333333,4,4,4,2,3,2,5,1,2,2,FALSE
"56","anything","anything","anything to it",2.85,4,4,4,4,4,4,4,4,4,4,TRUE
"57","Cost effective vs. lump sum","I do not live in a flooding prone area.","",5.96666666666667,2,1,5,1,5,1,5,1,5,1,FALSE
"58","don't know","safety","",5.5,3,3,3,3,3,3,3,3,3,3,TRUE
"59","It would be a more practical choice","It floods a lot in this area","",4.26666666666667,3,4,4,3,2,2,4,4,4,4,FALSE
"60","The right side","It makes the most sense to me","",10.7,4,3,2,4,4,5,2,5,2,3,FALSE
"61","Because I would prefer a paved driveway anyway, regardless of the maintenance cost.","The likelihood of an heavy rain event is likely to increase, and there's already been one in the last 10 years.","",11.4333333333333,4,4,5,2,2,2,4,4,2,1,FALSE
"62","the cost to pave","it does not raine enough","",17.3,2,2,4,2,5,2,5,1,5,5,FALSE
"63","fix & forget","rains 1.9 "" per year","",24.45,4,4,3,4,3,4,2,4,5,2,FALSE
"64","because i couldn't care less.","saying it only covers 350,000 dollars","",13.4666666666667,1,1,1,5,1,4,1,4,1,1,FALSE
"65","More Value","Because it increases the value overtime","Make it easier to understand",11.9333333333333,3,4,3,1,5,1,4,2,5,1,FALSE
